--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------

NOTES:  Run output sample:
        - Testing quick sort and its elapsed time over various array sizes and recursion limits.
        - Time totals are of average of running each case three times.
--------------------------------------------------------------------------------------------------------


============= Quick Sort for Array Size: 20000 =============

Recursions #: 274  |  Elapsed Time:   0 sec : 5 ms : 944338 ns = 5944338 ns
Recursions #: 276  |  Elapsed Time:   0 sec : 5 ms : 532106 ns = 5532106 ns
Recursions #: 278  |  Elapsed Time:   0 sec : 5 ms : 694530 ns = 5694530 ns
Recursions #: 280  |  Elapsed Time:   0 sec : 6 ms : 100267 ns = 6100267 ns
Recursions #: 282  |  Elapsed Time:   0 sec : 4 ms : 964903 ns = 4964903 ns
Recursions #: 284  |  Elapsed Time:   0 sec : 4 ms : 863107 ns = 4863107 ns
Recursions #: 286  |  Elapsed Time:   0 sec : 6 ms : 385899 ns = 6385899 ns
Recursions #: 288  |  Elapsed Time:   0 sec : 5 ms : 494677 ns = 5494677 ns
Recursions #: 290  |  Elapsed Time:   0 sec : 5 ms : 98241 ns = 5098241 ns
Recursions #: 292  |  Elapsed Time:   0 sec : 6 ms : 59976 ns = 6059976 ns
Recursions #: 294  |  Elapsed Time:   0 sec : 6 ms : 132538 ns = 6132538 ns
Recursions #: 296  |  Elapsed Time:   0 sec : 6 ms : 331120 ns = 6331120 ns
Recursions #: 298  |  Elapsed Time:   0 sec : 5 ms : 304349 ns = 5304349 ns
Recursions #: 300  |  Elapsed Time:   0 sec : 5 ms : 79791 ns = 5079791 ns
Done


============= Quick Sort for Array Size: 519000 =============

Recursions #: 2  |  Elapsed Time:   0 sec : 142 ms : 597941 ns = 142597941 ns
Recursions #: 4  |  Elapsed Time:   0 sec : 142 ms : 218550 ns = 142218550 ns
Recursions #: 6  |  Elapsed Time:   0 sec : 135 ms : 625850 ns = 135625850 ns
Recursions #: 8  |  Elapsed Time:   0 sec : 138 ms : 981111 ns = 138981111 ns
Recursions #: 10  |  Elapsed Time:   0 sec : 135 ms : 567078 ns = 135567078 ns
Recursions #: 12  |  Elapsed Time:   0 sec : 132 ms : 427443 ns = 132427443 ns
Recursions #: 14  |  Elapsed Time:   0 sec : 139 ms : 473946 ns = 139473946 ns
Recursions #: 16  |  Elapsed Time:   0 sec : 137 ms : 73005 ns = 137073005 ns
Recursions #: 18  |  Elapsed Time:   0 sec : 137 ms : 796490 ns = 137796490 ns
Recursions #: 20  |  Elapsed Time:   0 sec : 138 ms : 376439 ns = 138376439 ns
Recursions #: 22  |  Elapsed Time:   0 sec : 136 ms : 246082 ns = 136246082 ns
Recursions #: 24  |  Elapsed Time:   0 sec : 138 ms : 149435 ns = 138149435 ns
Recursions #: 26  |  Elapsed Time:   0 sec : 143 ms : 188596 ns = 143188596 ns
Recursions #: 28  |  Elapsed Time:   0 sec : 143 ms : 147798 ns = 143147798 ns
Recursions #: 30  |  Elapsed Time:   0 sec : 144 ms : 686350 ns = 144686350 ns
Recursions #: 32  |  Elapsed Time:   0 sec : 135 ms : 60680 ns = 135060680 ns
Recursions #: 34  |  Elapsed Time:   0 sec : 133 ms : 120073 ns = 133120073 ns
Recursions #: 36  |  Elapsed Time:   0 sec : 150 ms : 1310 ns = 150001310 ns
Recursions #: 38  |  Elapsed Time:   0 sec : 168 ms : 826997 ns = 168826997 ns
Recursions #: 40  |  Elapsed Time:   0 sec : 152 ms : 853084 ns = 152853084 ns
Recursions #: 42  |  Elapsed Time:   0 sec : 146 ms : 822482 ns = 146822482 ns
